etalab;finess;nom;;;;departement;region;ville;telephone;categorie;adresse
10000024;10780054;CENTRE HOSPITALIER DE BOURG-EN-BRESSE FLEYRIAT;900;RTE;DE PARIS;1;AIN;01300 BELLEY;474454647;Centre Hospitalier (C.H.);900 RTE DE PARIS
10000032;10780062;CENTRE HOSPITALIER BUGEY SUD;700;AV;DE NARVIK;1;AIN;01300 BELLEY;479425959;Centre Hospitalier (C.H.);700 AV DE NARVIK
10000065;10780096;CENTRE HOSPITALIER DE TREVOUX - MONTPENSIER;14;R;DE L'HOPITAL;1;AIN;01606 TREVOUX CEDEX;474105000;Centre Hospitalier (C.H.);14 R DE L'HOPITAL
10000081;10780112;CENTRE HOSPITALIER DU PAYS DE GEX;160;R;MARC PANISSOD;1;AIN;01174 GEX CEDEX;450403838;Centre hospitalier, ex Hôpital local;160 R MARC PANISSOD
10000099;10780120;CENTRE HOSPITALIER DE MEXIMIEUX;13;AV;DU DOCTEUR BOYER;1;AIN;01800 MEXIMIEUX;474610177;Centre hospitalier, ex Hôpital local;13 AV DU DOCTEUR BOYER
10000107;10780138;CENTRE HOSPITALIER DE PONT DE VAUX;;CHE;DES NIVRES;1;AIN;01190 PONT DE VAUX;385308000;Centre hospitalier, ex Hôpital local;CHE DES NIVRES
10000115;10009132;CH INTERCOMMUNAL AIN VAL DE SAONE - PONT DE VEYLE;;R;PIERRE GOUJON;1;AIN;01290 PONT DE VEYLE;385362350;Centre Hospitalier (C.H.);R PIERRE GOUJON
10000131;10009132;CH INTERCOMMUNAL AIN VAL DE SAONE - THOISSEY;11;R;DE L HOPITAL;1;AIN;01140 THOISSEY;474049900;Centre Hospitalier (C.H.);11 R DE L HOPITAL
10000180;10007987;CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ESPERANCE;;AV;FELIX MANGINI;1;AIN;01110 PLATEAU D HAUTEVILLE;474408250;Centre Hospitalier (C.H.);AV FELIX MANGINI
10000198;10007987;CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE INTERDEPT;;AV;FELIX MANGINI;1;AIN;01110 PLATEAU D HAUTEVILLE;474408165;Centre Hospitalier (C.H.);AV FELIX MANGINI
10000214;10007987;CENTRE HOSPITALIER PUBLIC DE HAUTEVILLE - UNITE ALBARINE;;AV;FELIX MANGINI;1;AIN;01110 PLATEAU D HAUTEVILLE;474408169;Centre Hospitalier (C.H.);AV FELIX MANGINI
10000495;10783009;CENTRE PSYCHOTHERAPIQUE DE L'AIN;;AV;DE MARBOZ;1;AIN;01012 BOURG EN BRESSE CEDEX;474522911;Centre Hospitalier Spécialisé lutte Maladies Mentales;AV DE MARBOZ
10001246;10790368;MARPA ANNEXE DE LA MARPA DE MANZIAT;100;R;DE LA MAIRIE;1;AIN;01380 BAGE DOMMARTIN;385302106;Résidences autonomie;100 R DE LA MAIRIE
10001261;10785897;ESAT LES BROSSES;;;;1;AIN;01560 VERNOUX;474470470;Etablissement et Service d'Aide par le Travail (E.S.A.T.);
10001295;10784270;SERVICE DE PREVENTION SPECIALISEE;526;R;PAUL VERLAINE;1;AIN;01960 PERONNAS;474321161;Club Equipe de Prévention;526 R PAUL VERLAINE
10001360;10001352;MARPA LA VALETTE;227;RTE;DE MONTCET;1;AIN;01310 MONTRACOL;474243885;Résidences autonomie;227 RTE DE MONTCET
10001436;10009132;SERVICE  DE SOINS INFIRMIERS A DOMICILE DE PONT DE VEYLE;;R;PIERRE GOUJON;1;AIN;01290 PONT DE VEYLE;385368607;Service de Soins Infirmiers A Domicile (S.S.I.A.D);R PIERRE GOUJON
10001733;10001725;LBM CROIX BLANCHE BOURG EN B;51;AV;AMEDEE MERCIER;1;AIN;01000 BOURG EN BRESSE;474452636;Laboratoire d'Analyses;51 AV AMEDEE MERCIER
10001741;10785897;;;RTE;DU BOURG;1;AIN;01630 ST JEAN DE GONVILLE;450564908;Etab.Acc.Médicalisé en tout ou partie personnes handicapées;RTE DU BOURG
10002038;10785897;;1;R;FRANCOISE DOLTO;1;AIN;01105 OYONNAX CEDEX;474732300;Service d'Éducation Spéciale et de Soins à Domicile;1 R FRANCOISE DOLTO
10002079;690793567;;18;R;JEAN CLAUDE RACCURT;1;AIN;01120 DAGNEUX;472259167;Service d'Éducation Spéciale et de Soins à Domicile;18 R JEAN CLAUDE RACCURT
10002129;750056335;;554;R;LEOPOLD LE HON;1;AIN;01000 BOURG EN BRESSE;474255151;Etablissement de santé privé autorisé en SSR;554 R LEOPOLD LE HON
10002160;690035159;LBM NOVELAB MONTREVEL EN BRESSE;;RTE;DE MÂCON;1;AIN;01340 MONTREVEL EN BRESSE;474308870;Laboratoire de Biologie Médicale;RTE DE MÂCON
10002228;920032380;EHPAD L'AMBARROISE AMBERIEU;58;AV;PAUL PAINLEVE;1;AIN;01500 AMBERIEU EN BUGEY;474461111;Etablissement d'hébergement pour personnes âgées dépendantes;58 AV PAUL PAINLEVE
10002236;10783009;CMP ENFANTS-ADO BOURG-EN-BRESSE;14;R;DE L'ECOLE;1;AIN;01000 BOURG EN BRESSE;474522708;Centre Médico-Psychologique (C.M.P.);14 R DE L'ECOLE
10002244;10783009;CATTP ADULTES;;BD;JULES FERRY;1;AIN;01000 BOURG EN BRESSE;474522748;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);BD JULES FERRY
10002251;10783009;HDJ ADULTES CHATILLON;;;;1;AIN;01400 CHATILLON SUR CHALARONNE;474522406;Centre Hospitalier Spécialisé lutte Maladies Mentales;
10002269;10000735;SERVICE DE SOINS INFIRMIERS A DOMICILE MIRIBEL;1820;;GRANDE RUE;1;AIN;01700 MIRIBEL;478552553;Service de Soins Infirmiers A Domicile (S.S.I.A.D);1820 GRANDE RUE
10002285;10002277;NOUVELLE PHARMACIE DU CHAMP DE MARS;9;R;ALEXANDRE BERARD;1;AIN;01500 AMBERIEU EN BUGEY;474380226;Pharmacie d'Officine;9 R ALEXANDRE BERARD
10002301;10002293;GRANDE PHARMACIE D'AMBERIEU CENTRE;39;R;ALEXANDRE BERARD;1;AIN;01500 AMBERIEU EN BUGEY;474350415;Pharmacie d'Officine;39 R ALEXANDRE BERARD
10002319;750719239;INSTITUT EDUCATION MOTRICE HANDAS;151;R;MARCEL PAGNOL;1;AIN;01440 VIRIAT;474246254;Institut d'éducation motrice;151 R MARCEL PAGNOL
